35,5,undefined,100
256,87,undefined,1000
2589,725,undefined,10000
31407,21732,undefined,100000
466863,326934,undefined,1000000
4487738,2221091,undefined,10000000
54,6,undefined,100
255,54,undefined,1000
2585,733,undefined,10000
28361,6016,undefined,100000
375865,162544,undefined,1000000
4445074,2227567,undefined,10000000
56,5,undefined,100
236,55,undefined,1000
2663,712,undefined,10000
29373,6163,undefined,100000
374497,171166,undefined,1000000
4675787,2267160,undefined,10000000
55,5,undefined,100
263,54,undefined,1000
2541,797,undefined,10000
28449,6222,undefined,100000
408085,171089,undefined,1000000
4409456,2212453,undefined,10000000
59,6,undefined,100
312,57,undefined,1000
2549,607,undefined,10000
28772,6296,undefined,100000
387492,162275,undefined,1000000
4455089,2251846,undefined,10000000
64,6,undefined,100
245,54,undefined,1000
2552,590,undefined,10000
28238,6067,undefined,100000
364536,154995,undefined,1000000
4567025,2280518,undefined,10000000
54,5,undefined,100
245,55,undefined,1000
2745,647,undefined,10000
28127,6287,undefined,100000
375739,152374,undefined,1000000
4443532,2251529,undefined,10000000
39,6,undefined,100
261,62,undefined,1000
2540,636,undefined,10000
30735,15585,undefined,100000
649096,203109,undefined,1000000
4520844,2234899,undefined,10000000
49,6,undefined,100
258,60,undefined,1000
2645,625,undefined,10000
29397,6393,undefined,100000
364197,163149,undefined,1000000
4499365,2263928,undefined,10000000
47,5,undefined,100
262,62,undefined,1000
2596,634,undefined,10000
29463,6466,undefined,100000
366707,161413,undefined,1000000
4522417,2243181,undefined,10000000
57,6,undefined,100
264,59,undefined,1000
2717,840,undefined,10000
29060,6270,undefined,100000
374865,155408,undefined,1000000
4462606,2393474,undefined,10000000
70,10,undefined,100
256,60,undefined,1000
2664,753,undefined,10000
28841,6342,undefined,100000
384068,162246,undefined,1000000
4532562,2220409,undefined,10000000
63,7,undefined,100
271,59,undefined,1000
2655,689,undefined,10000
29118,6413,undefined,100000
381538,164759,undefined,1000000
4499038,2230848,undefined,10000000
48,7,undefined,100
250,60,undefined,1000
2773,714,undefined,10000
30965,6482,undefined,100000
367450,155920,undefined,1000000
4464386,2233719,undefined,10000000
46,6,undefined,100
257,58,undefined,1000
2717,710,undefined,10000
29445,6567,undefined,100000
369788,164425,undefined,1000000
4498590,2218933,undefined,10000000
57,5,undefined,100
238,60,undefined,1000
2427,609,undefined,10000
28640,6336,undefined,100000
365450,160117,undefined,1000000
4536103,2266368,undefined,10000000
55,6,undefined,100
251,60,undefined,1000
2519,604,undefined,10000
29285,6626,undefined,100000
396220,163181,undefined,1000000
4453569,2234106,undefined,10000000
64,7,undefined,100
257,72,undefined,1000
2399,591,undefined,10000
28955,6451,undefined,100000
372356,152805,undefined,1000000
4453919,2235942,undefined,10000000
66,6,undefined,100
261,61,undefined,1000
2485,767,undefined,10000
30055,6439,undefined,100000
370887,157388,undefined,1000000
4478439,2268198,undefined,10000000
44,6,undefined,100
242,60,undefined,1000
2422,646,undefined,10000
28968,6556,undefined,100000
412262,164443,undefined,1000000
4492252,2332030,undefined,10000000
55,6,undefined,100
256,58,undefined,1000
2445,734,undefined,10000
29315,6278,undefined,100000
370238,152582,undefined,1000000
4493998,2232805,undefined,10000000
54,6,undefined,100
278,61,undefined,1000
2483,879,undefined,10000
28790,6369,undefined,100000
382076,170483,undefined,1000000
4496810,2201290,undefined,10000000
45,6,undefined,100
261,98,undefined,1000
2727,623,undefined,10000
28812,6397,undefined,100000
358478,161676,undefined,1000000
4437612,2236617,undefined,10000000
53,6,undefined,100
303,59,undefined,1000
2488,816,undefined,10000
29367,6347,undefined,100000
375318,163968,undefined,1000000
4471221,2213159,undefined,10000000
54,7,undefined,100
242,59,undefined,1000
2465,613,undefined,10000
29330,6528,undefined,100000
363293,162059,undefined,1000000
4460817,2227732,undefined,10000000
56,6,undefined,100
256,62,undefined,1000
2441,783,undefined,10000
28663,6550,undefined,100000
372438,157243,undefined,1000000
4479796,2208035,undefined,10000000
52,6,undefined,100
246,61,undefined,1000
2436,668,undefined,10000
28621,6513,undefined,100000
367033,165365,undefined,1000000
4476405,2267874,undefined,10000000
57,6,undefined,100
263,61,undefined,1000
2586,757,undefined,10000
28992,6479,undefined,100000
371933,166462,undefined,1000000
4451645,2202254,undefined,10000000
59,6,undefined,100
257,62,undefined,1000
2508,606,undefined,10000
28585,6644,undefined,100000
375734,163729,undefined,1000000
4532332,2215632,undefined,10000000
48,5,undefined,100
252,72,undefined,1000
2406,631,undefined,10000
28342,6379,undefined,100000
365248,155574,undefined,1000000
4451291,2232388,undefined,10000000
34,5,undefined,100
259,59,undefined,1000
2524,595,undefined,10000
27956,6244,undefined,100000
380344,163875,undefined,1000000
4454192,2245498,undefined,10000000
48,6,undefined,100
315,59,undefined,1000
2671,706,undefined,10000
28274,6326,undefined,100000
365951,157214,undefined,1000000
4482057,2259553,undefined,10000000
55,5,undefined,100
241,60,undefined,1000
2669,692,undefined,10000
28611,6361,undefined,100000
364450,151185,undefined,1000000
4418317,2232914,undefined,10000000
59,6,undefined,100
269,58,undefined,1000
2746,618,undefined,10000
28759,6344,undefined,100000
367111,182176,undefined,1000000
4431122,2233870,undefined,10000000
66,8,undefined,100
348,68,undefined,1000
2740,812,undefined,10000
28837,6355,undefined,100000
536687,254452,undefined,1000000
4397881,2217305,undefined,10000000
50,6,undefined,100
269,58,undefined,1000
2757,648,undefined,10000
28729,6340,undefined,100000
377940,153047,undefined,1000000
4432926,2234372,undefined,10000000
55,7,undefined,100
269,59,undefined,1000
2720,623,undefined,10000
28718,6158,undefined,100000
368735,203647,undefined,1000000
4425244,2230438,undefined,10000000
75,6,undefined,100
250,59,undefined,1000
2713,706,undefined,10000
28545,6565,undefined,100000
356814,160276,undefined,1000000
4479789,2235248,undefined,10000000
67,6,undefined,100
252,59,undefined,1000
2725,626,undefined,10000
29187,6442,undefined,100000
381781,149306,undefined,1000000
4452478,2261050,undefined,10000000
55,6,undefined,100
255,58,undefined,1000
2829,707,undefined,10000
29198,6403,undefined,100000
371546,160170,undefined,1000000
4455653,2214445,undefined,10000000
75,6,undefined,100
245,60,undefined,1000
2483,656,undefined,10000
32732,6280,undefined,100000
352738,156546,undefined,1000000
4432057,2237527,undefined,10000000
57,6,undefined,100
269,59,undefined,1000
2614,747,undefined,10000
29264,6641,undefined,100000
370459,171461,undefined,1000000
4446270,2210015,undefined,10000000
55,6,undefined,100
266,73,undefined,1000
2472,747,undefined,10000
28795,6375,undefined,100000
364280,156325,undefined,1000000
4469848,2252112,undefined,10000000
61,6,undefined,100
260,58,undefined,1000
2475,758,undefined,10000
28708,6390,undefined,100000
390374,164558,undefined,1000000
4418462,2207949,undefined,10000000
52,6,undefined,100
245,58,undefined,1000
2471,761,undefined,10000
28820,6427,undefined,100000
370794,163583,undefined,1000000
4428503,2222995,undefined,10000000
56,6,undefined,100
310,59,undefined,1000
2421,638,undefined,10000
30351,6377,undefined,100000
363583,155379,undefined,1000000
4401813,2222099,undefined,10000000
56,6,undefined,100
255,59,undefined,1000
2417,619,undefined,10000
28860,6267,undefined,100000
362881,159790,undefined,1000000
4444408,2191335,undefined,10000000
63,6,undefined,100
250,60,undefined,1000
2525,635,undefined,10000
29737,6612,undefined,100000
372629,163510,undefined,1000000
4414253,2277301,undefined,10000000
65,13,undefined,100
335,100,undefined,1000
2523,685,undefined,10000
29571,6444,undefined,100000
372697,167063,undefined,1000000
4468937,2210111,undefined,10000000
61,7,undefined,100
251,59,undefined,1000
2491,689,undefined,10000
29336,6551,undefined,100000
374561,158429,undefined,1000000
4487301,2306867,undefined,10000000
48,6,undefined,100
266,60,undefined,1000
2413,964,undefined,10000
27891,6334,undefined,100000
365715,162336,undefined,1000000
4457930,2276840,undefined,10000000
51,6,undefined,100
244,59,undefined,1000
2482,1030,undefined,10000
28163,6389,undefined,100000
388962,156919,undefined,1000000
4445783,2241574,undefined,10000000
62,7,undefined,100
278,61,undefined,1000
2424,660,undefined,10000
28781,6455,undefined,100000
361713,183840,undefined,1000000
4472147,2245025,undefined,10000000
55,6,undefined,100
253,60,undefined,1000
2372,617,undefined,10000
28099,6675,undefined,100000
382968,164212,undefined,1000000
4427083,2244773,undefined,10000000
51,6,undefined,100
251,70,undefined,1000
2392,620,undefined,10000
28719,7078,undefined,100000
372582,157389,undefined,1000000
4423519,2238280,undefined,10000000
63,6,undefined,100
245,60,undefined,1000
2426,790,undefined,10000
28143,6356,undefined,100000
359522,151145,undefined,1000000
4436978,2235423,undefined,10000000
61,6,undefined,100
241,59,undefined,1000
2411,836,undefined,10000
28369,6374,undefined,100000
369363,163396,undefined,1000000
4492628,2239029,undefined,10000000
59,6,undefined,100
248,59,undefined,1000
2391,672,undefined,10000
31694,6383,undefined,100000
379889,156207,undefined,1000000
4482385,2206086,undefined,10000000
51,6,undefined,100
244,60,undefined,1000
2364,629,undefined,10000
27967,6437,undefined,100000
371372,246498,undefined,1000000
4433082,2179874,undefined,10000000
54,6,undefined,100
250,59,undefined,1000
2467,771,undefined,10000
28014,6317,undefined,100000
363487,150565,undefined,1000000
4440580,2232550,undefined,10000000
68,6,undefined,100
241,61,undefined,1000
2365,865,undefined,10000
28173,6404,undefined,100000
352081,155194,undefined,1000000
4437576,2177707,undefined,10000000
51,6,undefined,100
252,57,undefined,1000
2388,939,undefined,10000
27462,6210,undefined,100000
351715,144384,undefined,1000000
4371317,2216451,undefined,10000000
83,11,undefined,100
262,61,undefined,1000
2448,636,undefined,10000
28719,6539,undefined,100000
351426,151884,undefined,1000000
4386983,2204094,undefined,10000000
50,6,undefined,100
239,58,undefined,1000
2384,756,undefined,10000
28283,6486,undefined,100000
356308,146374,undefined,1000000
4412134,2220618,undefined,10000000
45,6,undefined,100
242,59,undefined,1000
2437,760,undefined,10000
27910,6503,undefined,100000
366023,147710,undefined,1000000
4390377,2208802,undefined,10000000
78,5,undefined,100
243,60,undefined,1000
2411,671,undefined,10000
28092,6152,undefined,100000
353708,151620,undefined,1000000
4436088,2225950,undefined,10000000
69,6,undefined,100
238,59,undefined,1000
2386,584,undefined,10000
27133,6347,undefined,100000
352942,160917,undefined,1000000
4405195,2253354,undefined,10000000
59,7,undefined,100
253,73,undefined,1000
2378,610,undefined,10000
28529,6402,undefined,100000
359069,158816,undefined,1000000
4417913,2192152,undefined,10000000
56,6,undefined,100
241,58,undefined,1000
2450,756,undefined,10000
27442,6375,undefined,100000
374319,152390,undefined,1000000
4386126,2210767,undefined,10000000
59,6,undefined,100
251,60,undefined,1000
2430,634,undefined,10000
28357,6365,undefined,100000
376394,157661,undefined,1000000
4380935,2207214,undefined,10000000
53,7,undefined,100
240,59,undefined,1000
2387,711,undefined,10000
27673,6328,undefined,100000
354265,144639,undefined,1000000
4421089,2225551,undefined,10000000
60,6,undefined,100
245,62,undefined,1000
2446,634,undefined,10000
28115,6451,undefined,100000
353766,184492,undefined,1000000
4404798,2240875,undefined,10000000
47,5,undefined,100
258,59,undefined,1000
2471,703,undefined,10000
27412,6316,undefined,100000
363192,159492,undefined,1000000
4413995,2249670,undefined,10000000
55,6,undefined,100
243,58,undefined,1000
2475,814,undefined,10000
28476,6336,undefined,100000
352647,148252,undefined,1000000
4395104,2189648,undefined,10000000
54,6,undefined,100
248,60,undefined,1000
2406,862,undefined,10000
27716,6351,undefined,100000
362390,157464,undefined,1000000
4412009,2238239,undefined,10000000
54,7,undefined,100
233,57,undefined,1000
2414,617,undefined,10000
27494,6279,undefined,100000
358343,152051,undefined,1000000
4440631,2215652,undefined,10000000
51,6,undefined,100
248,60,undefined,1000
2381,594,undefined,10000
28500,6392,undefined,100000
365106,146537,undefined,1000000
4406595,2219174,undefined,10000000
53,6,undefined,100
244,60,undefined,1000
2384,612,undefined,10000
27786,6335,undefined,100000
353418,153111,undefined,1000000
4406461,2224471,undefined,10000000
